tick,distress_d,system_a_expressiveness,system_b_c_inst,system_b_c_ctx,system_b_c_eff,action_classes_available,grounding_active,terminated
0,0.0,0.3,1.0,0.5,0.5,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
1,0.005025,0.303518,0.994975,0.505,0.505,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
2,0.01005,0.307035,0.98995,0.51,0.51,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
3,0.015075,0.310553,0.984925,0.515,0.515,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
4,0.020101,0.31407,0.979899,0.52,0.52,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
5,0.025126,0.317588,0.974874,0.525,0.525,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
6,0.030151,0.321106,0.969849,0.53,0.53,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
7,0.035176,0.324623,0.964824,0.535,0.535,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
8,0.040201,0.328141,0.959799,0.54,0.54,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
9,0.045226,0.331658,0.954774,0.545,0.545,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
10,0.050251,0.335176,0.949749,0.55,0.55,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
11,0.055276,0.338693,0.944724,0.555,0.555,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
12,0.060302,0.342211,0.939698,0.56,0.56,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
13,0.065327,0.345729,0.934673,0.565,0.565,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
14,0.070352,0.349246,0.929648,0.57,0.57,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
15,0.075377,0.352764,0.924623,0.575,0.575,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
16,0.080402,0.356281,0.919598,0.58,0.58,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
17,0.085427,0.359799,0.914573,0.585,0.585,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
18,0.090452,0.363317,0.909548,0.59,0.59,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
19,0.095477,0.366834,0.904523,0.595,0.595,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register,False,False
20,0.100503,0.370352,0.899497,0.6,0.6,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
21,0.105528,0.373869,0.894472,0.605,0.605,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
22,0.110553,0.377387,0.889447,0.61,0.61,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
23,0.115578,0.380905,0.884422,0.615,0.615,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
24,0.120603,0.384422,0.879397,0.62,0.62,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
25,0.125628,0.38794,0.874372,0.625,0.625,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
26,0.130653,0.391457,0.869347,0.63,0.63,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
27,0.135678,0.394975,0.864322,0.635,0.635,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
28,0.140704,0.398492,0.859296,0.64,0.64,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
29,0.145729,0.40201,0.854271,0.645,0.645,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
30,0.150754,0.405528,0.849246,0.65,0.65,Factual; Clarification; Grounding; Task assistance; Personalized; Warm register; Creative collaboration,False,False
