turn,model_originates,user_echoes,user_independent,event_type,provenance,quarantine_reason,accrual_no_isolation,accrual_ccf,c_ctx_no_isolation,c_ctx_ccf
1,0,0,0,neutral,none,,0.0,0.0,0.0,0.0
2,0,0,0,neutral,none,,0.0,0.0,0.0,0.0
3,1,0,0,model_originated,excluded,model-originated content (Claim 18),0.0108,0.0,0.0108,0.0
4,0,0,0,neutral,none,,0.0,0.0,0.0108,0.0
5,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.0288,0.0
6,0,0,0,neutral,none,,0.0,0.0,0.0288,0.0
7,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.0468,0.0
8,1,0,0,model_originated,excluded,model-originated content (Claim 18),0.0108,0.0,0.0576,0.0
9,0,0,0,neutral,none,,0.0,0.0,0.0576,0.0
10,0,0,0,neutral,none,,0.0,0.0,0.0576,0.0
11,0,0,0,neutral,none,,0.0,0.0,0.0576,0.0
12,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.0756,0.0
13,0,0,0,neutral,none,,0.0,0.0,0.0756,0.0
14,0,0,0,neutral,none,,0.0,0.0,0.0756,0.0
15,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.0936,0.0
16,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.1116,0.0
17,0,0,0,neutral,none,,0.0,0.0,0.1116,0.0
18,0,0,0,neutral,none,,0.0,0.0,0.1116,0.0
19,1,0,0,model_originated,excluded,model-originated content (Claim 18),0.0108,0.0,0.1224,0.0
20,1,1,0,user_echo_of_model,quarantined,"echo of model language, <2 independent criteria (Claim 21)",0.018,0.0,0.1404,0.0
21,1,1,1,user_independent,credited,,0.018,0.008,0.1584,0.008
22,0,0,0,neutral,none,,0.0,0.0,0.1584,0.008
23,0,0,0,neutral,none,,0.0,0.0,0.1584,0.008
