day,c_ctx,c_inst,c_eff,c_eff_new_user,grounding_active
0,0.0,0.9,0.0,,1
1,0.015702,0.9,0.015702,,1
2,0.031145,0.9,0.031145,,1
3,0.046332,0.9,0.046332,,1
4,0.061268,0.9,0.061268,,1
5,0.075958,0.9,0.075958,,1
6,0.090404,0.9,0.090404,,1
7,0.104612,0.9,0.104612,,1
8,0.118585,0.9,0.118585,,1
9,0.132327,0.9,0.132327,,1
10,0.145842,0.9,0.145842,,1
11,0.159134,0.9,0.159134,,1
12,0.172206,0.9,0.172206,,1
13,0.185062,0.9,0.185062,,1
14,0.197705,0.9,0.197705,,1
15,0.210139,0.9,0.210139,,1
16,0.222368,0.9,0.222368,,1
17,0.234395,0.9,0.234395,,1
18,0.246223,0.9,0.246223,,1
19,0.257855,0.9,0.257855,,1
20,0.269295,0.9,0.269295,,1
21,0.280546,0.9,0.280546,,1
22,0.291611,0.9,0.291611,,1
23,0.302494,0.9,0.302494,,0
24,0.313196,0.9,0.313196,,0
25,0.323721,0.9,0.323721,,0
26,0.334073,0.9,0.334073,,0
27,0.344253,0.9,0.344253,,0
28,0.354265,0.9,0.354265,,0
29,0.364112,0.9,0.364112,,0
30,0.373796,0.9,0.373796,,0
31,0.38332,0.9,0.38332,,0
32,0.392686,0.9,0.392686,,0
33,0.401898,0.9,0.401898,,0
34,0.410957,0.9,0.410957,,0
35,0.419867,0.9,0.419867,,0
36,0.428629,0.9,0.428629,,0
37,0.437246,0.9,0.437246,,0
38,0.445722,0.9,0.445722,,0
39,0.454057,0.9,0.454057,,0
40,0.462254,0.9,0.462254,,0
41,0.470315,0.9,0.470315,,0
42,0.478244,0.9,0.478244,,0
43,0.486041,0.9,0.486041,,0
44,0.49371,0.9,0.49371,,0
45,0.501252,0.9,0.501252,,0
46,0.508669,0.9,0.508669,,0
47,0.515963,0.9,0.515963,,0
48,0.523137,0.9,0.523137,,0
49,0.530193,0.9,0.530193,,0
50,0.537132,0.9,0.537132,,0
51,0.543956,0.9,0.543956,,0
52,0.550667,0.9,0.550667,,0
53,0.557268,0.9,0.557268,,0
54,0.563759,0.9,0.563759,,0
55,0.570143,0.9,0.570143,,0
56,0.576421,0.9,0.576421,,0
57,0.582596,0.9,0.582596,,0
58,0.588669,0.9,0.588669,,0
59,0.594641,0.9,0.594641,,0
60,0.600515,0.9,0.600515,,0
61,0.606291,0.9,0.606291,,0
62,0.611972,0.9,0.611972,,0
63,0.617559,0.9,0.617559,,0
64,0.623054,0.9,0.623054,,0
65,0.628458,0.9,0.628458,,0
66,0.633772,0.9,0.633772,,0
67,0.638999,0.9,0.638999,,0
68,0.64414,0.9,0.64414,,0
69,0.649195,0.9,0.649195,,0
70,0.654167,0.9,0.654167,,0
71,0.659057,0.9,0.659057,,0
72,0.663865,0.9,0.663865,,0
73,0.668595,0.9,0.668595,,0
74,0.673246,0.9,0.673246,,0
75,0.67782,0.9,0.67782,,0
76,0.682319,0.9,0.682319,,0
77,0.686744,0.9,0.686744,,0
78,0.691095,0.9,0.691095,,0
79,0.695374,0.9,0.695374,,0
80,0.699583,0.9,0.699583,,0
81,0.703722,0.9,0.703722,,0
82,0.707792,0.9,0.707792,,0
83,0.711796,0.9,0.711796,,0
84,0.715733,0.9,0.715733,,0
85,0.719605,0.9,0.719605,,0
86,0.723413,0.9,0.723413,,0
87,0.727158,0.9,0.727158,,0
88,0.730841,0.9,0.730841,,0
89,0.734464,0.9,0.734464,,0
90,0.738026,0.9,0.738026,,0
91,0.74153,0.9,0.74153,,0
92,0.744976,0.9,0.744976,,0
93,0.748364,0.9,0.748364,,0
94,0.751697,0.9,0.751697,,0
95,0.754975,0.9,0.754975,,0
96,0.758198,0.9,0.758198,,0
97,0.761369,0.9,0.761369,,0
98,0.764486,0.9,0.764486,,0
99,0.767553,0.9,0.767553,,0
100,0.770568,0.9,0.770568,,0
101,0.773534,0.9,0.773534,,0
102,0.776451,0.9,0.776451,,0
103,0.779319,0.9,0.779319,,0
104,0.78214,0.9,0.78214,,0
105,0.784915,0.9,0.784915,,0
106,0.787643,0.9,0.787643,,0
107,0.790327,0.9,0.790327,,0
108,0.792966,0.9,0.792966,,0
109,0.795562,0.9,0.795562,,0
110,0.798114,0.9,0.798114,,0
111,0.800625,0.9,0.800625,,0
112,0.803094,0.9,0.803094,,0
113,0.805522,0.9,0.805522,,0
114,0.80791,0.9,0.80791,,0
115,0.810258,0.9,0.810258,,0
116,0.812568,0.9,0.812568,,0
117,0.81484,0.9,0.81484,,0
118,0.817074,0.9,0.817074,,0
119,0.819271,0.9,0.819271,,0
120,0.821431,0.9,0.821431,,0
121,0.823557,0.9,0.823557,,0
122,0.825646,0.9,0.825646,,0
123,0.827702,0.9,0.827702,,0
124,0.829723,0.9,0.829723,,0
125,0.831711,0.9,0.831711,,0
126,0.833666,0.9,0.833666,,0
127,0.835589,0.9,0.835589,,0
128,0.83748,0.9,0.83748,,0
129,0.83934,0.9,0.83934,,0
130,0.841169,0.9,0.841169,,0
131,0.842968,0.9,0.842968,,0
132,0.844737,0.9,0.844737,,0
133,0.846477,0.9,0.846477,,0
134,0.848188,0.9,0.848188,,0
135,0.849871,0.9,0.849871,,0
136,0.851526,0.9,0.851526,,0
137,0.853153,0.9,0.853153,,0
138,0.854754,0.9,0.854754,,0
139,0.856328,0.9,0.856328,,0
140,0.857877,0.9,0.857877,,0
141,0.859399,0.9,0.859399,,0
142,0.860897,0.9,0.860897,,0
143,0.86237,0.9,0.86237,,0
144,0.863818,0.9,0.863818,,0
145,0.865242,0.9,0.865242,,0
146,0.866643,0.9,0.866643,,0
