hour,day,c_ctx,c_inst,c_eff,action_classes_available,newly_unlocked
0,0.0,0.0,0.8,0.0,3,
1,0.04,0.00995,0.8,0.00995,3,
2,0.08,0.019801,0.8,0.019801,3,
3,0.12,0.029554,0.8,0.029554,3,
4,0.17,0.039211,0.8,0.039211,3,
5,0.21,0.048771,0.8,0.048771,3,
6,0.25,0.058235,0.8,0.058235,3,
7,0.29,0.067606,0.8,0.067606,3,
8,0.33,0.076884,0.8,0.076884,3,
9,0.38,0.086069,0.8,0.086069,3,
10,0.42,0.095163,0.8,0.095163,3,
11,0.46,0.104166,0.8,0.104166,4,Task Assistance
12,0.5,0.11308,0.8,0.11308,4,
13,0.54,0.121905,0.8,0.121905,4,
14,0.58,0.130642,0.8,0.130642,4,
15,0.62,0.139292,0.8,0.139292,4,
16,0.67,0.147856,0.8,0.147856,4,
17,0.71,0.156335,0.8,0.156335,4,
18,0.75,0.16473,0.8,0.16473,4,
19,0.79,0.173041,0.8,0.173041,4,
20,0.83,0.181269,0.8,0.181269,4,
21,0.88,0.189416,0.8,0.189416,4,
22,0.92,0.197481,0.8,0.197481,4,
23,0.96,0.205466,0.8,0.205466,4,
24,1.0,0.213372,0.8,0.213372,4,
30,1.25,0.259182,0.8,0.259182,5,
36,1.5,0.302324,0.8,0.302324,5,
42,1.75,0.342953,0.8,0.342953,5,
48,2.0,0.381217,0.8,0.381217,5,
54,2.25,0.417252,0.8,0.417252,6,
60,2.5,0.451188,0.8,0.451188,6,
66,2.75,0.483149,0.8,0.483149,6,
72,3.0,0.513248,0.8,0.513248,6,
78,3.25,0.541594,0.8,0.541594,6,
84,3.5,0.568289,0.8,0.568289,7,
90,3.75,0.59343,0.8,0.59343,7,
96,4.0,0.617107,0.8,0.617107,7,
102,4.25,0.639405,0.8,0.639405,7,
108,4.5,0.660404,0.8,0.660404,7,
114,4.75,0.680181,0.8,0.680181,7,
120,5.0,0.698806,0.8,0.698806,7,
126,5.25,0.716346,0.8,0.716346,8,
132,5.5,0.732865,0.8,0.732865,8,
138,5.75,0.748421,0.8,0.748421,8,
144,6.0,0.763072,0.8,0.763072,8,
150,6.25,0.77687,0.8,0.77687,8,
156,6.5,0.789864,0.8,0.789864,8,
162,6.75,0.802101,0.8,0.8,9,
168,7.0,0.813626,0.8,0.8,9,
192,8.0,0.853393,0.8,0.8,9,
216,9.0,0.884675,0.8,0.8,9,
240,10.0,0.909282,0.8,0.8,9,
264,11.0,0.928639,0.8,0.8,9,
288,12.0,0.943865,0.8,0.8,9,
312,13.0,0.955843,0.8,0.8,9,
336,14.0,0.965265,0.8,0.8,9,
360,15.0,0.972676,0.8,0.8,9,
384,16.0,0.978506,0.8,0.8,9,
408,17.0,0.983093,0.8,0.8,9,
432,18.0,0.9867,0.8,0.8,9,
456,19.0,0.989538,0.8,0.8,9,
480,20.0,0.99177,0.8,0.8,9,
504,21.0,0.993526,0.8,0.8,9,
528,22.0,0.994908,0.8,0.8,9,
552,23.0,0.995994,0.8,0.8,9,
576,24.0,0.996849,0.8,0.8,9,
600,25.0,0.997521,0.8,0.8,9,
624,26.0,0.99805,0.8,0.8,9,
648,27.0,0.998466,0.8,0.8,9,
672,28.0,0.998793,0.8,0.8,9,
696,29.0,0.999051,0.8,0.8,9,
720,30.0,0.999253,0.8,0.8,9,
