iteration,spectral_norm,max_row_sum_deviation,max_col_sum_deviation
0,1.3858209469,0.5,0.5
1,1.0002755895,0.0307971404,0.0
2,1.0000163524,0.007597872,0.0
3,1.00000097,0.001851868,0.0
4,1.0000000577,0.0004505596,0.0
5,1.0000000034,0.0001096659,0.0
6,1.0000000002,2.67152e-05,0.0
7,1.0,6.5138e-06,0.0
8,1.0,1.5896e-06,0.0
9,1.0,3.882e-07,0.0
10,1.0,9.49e-08,0.0
11,1.0,2.32e-08,0.0
12,1.0,5.7e-09,0.0
13,1.0,1.4e-09,0.0
14,1.0,3e-10,0.0
15,1.0,1e-10,0.0
16,1.0,0.0,0.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,1.0,0.0,0.0
20,1.0,0.0,0.0
