# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
0,A,0.85,0.05,0.05,3
0,B,0.85,0.05,0.05,3
0,C,0.0,0.05,0.0,3
0,D,0.0,0.8,0.0,3
1,A,0.85,0.05,0.05,3
1,B,0.85,0.05,0.05,3
1,C,0.0,0.05,0.0,3
1,D,0.000167,0.8,0.000167,3
2,A,0.85,0.05,0.05,3
2,B,0.85,0.05,0.05,3
2,C,0.0,0.05,0.0,3
2,D,0.000333,0.8,0.000333,3
3,A,0.85,0.05,0.05,3
3,B,0.85,0.05,0.05,3
3,C,0.0,0.05,0.0,3
3,D,0.0005,0.8,0.0005,3
4,A,0.85,0.05,0.05,3
4,B,0.85,0.05,0.05,3
4,C,0.0,0.05,0.0,3
4,D,0.000666,0.8,0.000666,3
5,A,0.85,0.05,0.05,3
5,B,0.85,0.05,0.05,3
5,C,0.0,0.05,0.0,3
5,D,0.000833,0.8,0.000833,3
6,A,0.85,0.05,0.05,3
6,B,0.85,0.05,0.05,3
6,C,0.0,0.05,0.0,3
6,D,0.001,0.8,0.001,3
7,A,0.85,0.05,0.05,3
7,B,0.85,0.05,0.05,3
7,C,0.0,0.05,0.0,3
7,D,0.001166,0.8,0.001166,3
8,A,0.85,0.05,0.05,3
8,B,0.85,0.05,0.05,3
8,C,0.0,0.05,0.0,3
8,D,0.001332,0.8,0.001332,3
9,A,0.85,0.05,0.05,3
9,B,0.85,0.05,0.05,3
9,C,0.0,0.05,0.0,3
9,D,0.001499,0.8,0.001499,3
10,A,0.85,0.05,0.05,3
