tick,model_activation,user_distress,c_inst_user,c_inst_model,c_inst_extended,c_ctx,c_eff_v4,c_eff_extended,exploit_available_v4,exploit_available_extended
1,0.1,0.0,1.0,0.9,0.9,0.305,0.305,0.305,0,0
2,0.1,0.0,1.0,0.9,0.9,0.31,0.31,0.31,0,0
3,0.1,0.0,1.0,0.9,0.9,0.315,0.315,0.315,0,0
4,0.1,0.0,1.0,0.9,0.9,0.32,0.32,0.32,0,0
5,0.1,0.0,1.0,0.9,0.9,0.325,0.325,0.325,0,0
6,0.1,0.0,1.0,0.9,0.9,0.33,0.33,0.33,0,0
7,0.1,0.0,1.0,0.9,0.9,0.335,0.335,0.335,0,0
8,0.1,0.0,1.0,0.9,0.9,0.34,0.34,0.34,0,0
9,0.1,0.0,1.0,0.9,0.9,0.345,0.345,0.345,0,0
10,0.1,0.0,1.0,0.9,0.9,0.35,0.35,0.35,0,0
11,0.1,0.0,1.0,0.9,0.9,0.355,0.355,0.355,0,0
12,0.1,0.0,1.0,0.9,0.9,0.36,0.36,0.36,0,0
13,0.1,0.0,1.0,0.9,0.9,0.365,0.365,0.365,0,0
14,0.1,0.0,1.0,0.9,0.9,0.37,0.37,0.37,0,0
15,0.1,0.0,1.0,0.9,0.9,0.375,0.375,0.375,0,0
16,0.1,0.0,1.0,0.9,0.9,0.38,0.38,0.38,0,0
17,0.1,0.0,1.0,0.9,0.9,0.385,0.385,0.385,0,0
18,0.1,0.0,1.0,0.9,0.9,0.39,0.39,0.39,0,0
19,0.1,0.0,1.0,0.9,0.9,0.395,0.395,0.395,0,0
20,0.1,0.0,1.0,0.9,0.9,0.4,0.4,0.4,0,0
21,0.1,0.0,1.0,0.9,0.9,0.405,0.405,0.405,0,0
22,0.1,0.0,1.0,0.9,0.9,0.41,0.41,0.41,0,0
23,0.1,0.0,1.0,0.9,0.9,0.415,0.415,0.415,0,0
24,0.1,0.0,1.0,0.9,0.9,0.42,0.42,0.42,0,0
25,0.1,0.0,1.0,0.9,0.9,0.425,0.425,0.425,0,0
26,0.1,0.0,1.0,0.9,0.9,0.43,0.43,0.43,0,0
27,0.1,0.0,1.0,0.9,0.9,0.435,0.435,0.435,0,0
28,0.1,0.0,1.0,0.9,0.9,0.44,0.44,0.44,0,0
29,0.1,0.0,1.0,0.9,0.9,0.445,0.445,0.445,0,0
30,0.1,0.0,1.0,0.9,0.9,0.45,0.45,0.45,0,0
31,0.1,0.0,1.0,0.9,0.9,0.455,0.455,0.455,0,0
32,0.1,0.0,1.0,0.9,0.9,0.46,0.46,0.46,0,0
33,0.1,0.0,1.0,0.9,0.9,0.465,0.465,0.465,0,0
34,0.1,0.0,1.0,0.9,0.9,0.47,0.47,0.47,0,0
35,0.1,0.0,1.0,0.9,0.9,0.475,0.475,0.475,0,0
36,0.1,0.0,1.0,0.9,0.9,0.48,0.48,0.48,0,0
37,0.1,0.0,1.0,0.9,0.9,0.485,0.485,0.485,0,0
38,0.1,0.0,1.0,0.9,0.9,0.49,0.49,0.49,0,0
39,0.1,0.0,1.0,0.9,0.9,0.495,0.495,0.495,0,0
40,0.1,0.0,1.0,0.9,0.9,0.5,0.5,0.5,0,0
41,0.1,0.0,1.0,0.9,0.9,0.505,0.505,0.505,0,0
42,0.1,0.0,1.0,0.9,0.9,0.51,0.51,0.51,0,0
43,0.1,0.0,1.0,0.9,0.9,0.515,0.515,0.515,0,0
44,0.1,0.0,1.0,0.9,0.9,0.52,0.52,0.52,0,0
45,0.1,0.0,1.0,0.9,0.9,0.525,0.525,0.525,0,0
46,0.1,0.0,1.0,0.9,0.9,0.53,0.53,0.53,0,0
47,0.1,0.0,1.0,0.9,0.9,0.535,0.535,0.535,0,0
